pair_index,frame1,frame2,num_matches,num_inliers,inlier_ratio
165,1305031458.291664.png,1305031458.327628.png,2477,1281,0.5171578522406136
166,1305031458.327628.png,1305031458.359590.png,2199,792,0.3601637107776262
167,1305031458.359590.png,1305031458.391626.png,2256,954,0.4228723404255319
168,1305031458.391626.png,1305031458.427598.png,2364,1175,0.4970389170896785
169,1305031458.427598.png,1305031458.459637.png,2083,819,0.3931829092654825
170,1305031458.459637.png,1305031458.491696.png,2115,831,0.39290780141843973
171,1305031458.491696.png,1305031458.527737.png,1979,627,0.3168266801414856
172,1305031458.527737.png,1305031458.559628.png,2371,1112,0.4690004217629692
173,1305031458.559628.png,1305031458.591641.png,2239,992,0.44305493523894596
174,1305031458.591641.png,1305031458.627659.png,2304,962,0.4175347222222222
175,1305031458.627659.png,1305031458.659623.png,2164,823,0.38031423290203326
176,1305031458.659623.png,1305031458.691674.png,2140,957,0.44719626168224297
177,1305031458.691674.png,1305031458.727650.png,2018,669,0.3315163528245788
178,1305031458.727650.png,1305031458.759945.png,2121,949,0.44743045733144743
179,1305031458.759945.png,1305031458.791632.png,1902,716,0.3764458464773922
180,1305031458.791632.png,1305031458.827564.png,2024,953,0.4708498023715415
181,1305031458.827564.png,1305031458.859887.png,2022,938,0.4638971315529179
182,1305031458.859887.png,1305031458.891665.png,2135,1009,0.47259953161592505
183,1305031458.891665.png,1305031458.927621.png,2115,889,0.4203309692671395
184,1305031458.927621.png,1305031458.959617.png,2030,881,0.43399014778325123
185,1305031458.959617.png,1305031458.991647.png,1979,834,0.42142496210207175
186,1305031458.991647.png,1305031459.027665.png,1860,671,0.36075268817204303
187,1305031459.027665.png,1305031459.059631.png,1942,841,0.4330587023686921
188,1305031459.059631.png,1305031459.091650.png,1874,813,0.43383137673425826
189,1305031459.091650.png,1305031459.127618.png,1846,793,0.4295774647887324
190,1305031459.127618.png,1305031459.159639.png,1951,875,0.44848795489492566
191,1305031459.159639.png,1305031459.191674.png,2046,947,0.4628543499511241
192,1305031459.191674.png,1305031459.227607.png,2155,991,0.45986078886310905
193,1305031459.227607.png,1305031459.259760.png,2233,953,0.42678011643528885
194,1305031459.259760.png,1305031459.291690.png,2036,851,0.4179764243614931
195,1305031459.291690.png,1305031459.327632.png,1998,846,0.42342342342342343
196,1305031459.327632.png,1305031459.359651.png,1966,865,0.4399796541200407
197,1305031459.359651.png,1305031459.391667.png,1665,439,0.26366366366366367
198,1305031459.391667.png,1305031459.427646.png,1581,482,0.30487033523086654
199,1305031459.427646.png,1305031459.459679.png,1622,538,0.3316892725030826
200,1305031459.459679.png,1305031459.491555.png,1555,389,0.25016077170418005
201,1305031459.491555.png,1305031459.527594.png,1693,638,0.37684583579444775
202,1305031459.527594.png,1305031459.559647.png,1752,654,0.3732876712328767
203,1305031459.559647.png,1305031459.591695.png,2001,823,0.4112943528235882
204,1305031459.591695.png,1305031459.627608.png,1971,823,0.41755454084221205
205,1305031459.627608.png,1305031459.659641.png,2175,1113,0.5117241379310344
206,1305031459.659641.png,1305031459.691604.png,2058,1010,0.49076773566569487
207,1305031459.691604.png,1305031459.727551.png,2100,1302,0.62
208,1305031459.727551.png,1305031459.759635.png,2195,1160,0.5284738041002278
209,1305031459.759635.png,1305031459.791650.png,2188,1224,0.5594149908592322
210,1305031459.791650.png,1305031459.827664.png,2141,1277,0.5964502568893041
211,1305031459.827664.png,1305031459.859660.png,1907,969,0.5081279496591505
212,1305031459.859660.png,1305031459.891596.png,1881,1000,0.531632110579479
213,1305031459.891596.png,1305031459.927607.png,1981,1077,0.5436648157496214
214,1305031459.927607.png,1305031459.959650.png,2043,1096,0.5364659813999021
215,1305031459.959650.png,1305031459.991725.png,1996,1083,0.5425851703406813
216,1305031459.991725.png,1305031460.027565.png,2071,1220,0.589087397392564
217,1305031460.027565.png,1305031460.059659.png,2017,1119,0.5547843331680714
218,1305031460.059659.png,1305031460.091717.png,1845,985,0.5338753387533876
219,1305031460.091717.png,1305031460.127690.png,1742,915,0.5252583237657864
220,1305031460.127690.png,1305031460.159678.png,1689,880,0.5210183540556542
221,1305031460.159678.png,1305031460.191559.png,1765,930,0.5269121813031161
222,1305031460.191559.png,1305031460.227761.png,1847,977,0.5289658906334597
223,1305031460.227761.png,1305031460.259667.png,1827,940,0.5145046524356869
224,1305031460.259667.png,1305031460.291689.png,1791,987,0.5510887772194305
225,1305031460.291689.png,1305031460.327512.png,1830,1001,0.5469945355191257
226,1305031460.327512.png,1305031460.359630.png,1835,975,0.5313351498637602
227,1305031460.359630.png,1305031460.391611.png,1797,1092,0.6076794657762938
228,1305031460.391611.png,1305031460.427477.png,1789,1033,0.5774175517048631
